,Departamento,Municipality,Grid,MPIO_CCNCT,Coca Cultivation Area,Base Coca,Total Erradication,Predicted
80654,PUTUMAYO,PUERTO LEGUÍZAMO,132_40_2_3,86573,46.08723145047,503308.0,8154.176,47.563875160217286
47189,GUAVIARE,SAN JOSÉ DEL GUAVIARE,97_59_1_6,95001,2.55,0.0,19012.84,3.7148999428749083
49224,META,LA MACARENA,109_11_4_9,50350,2.04,0.0,0.0,2.0500999695062636
37971,CÓRDOBA,TIERRALTA,25_74_3_21,23807,1.0757497774749,667094.0,1201.03,3.2241244542598726
34524,CHOCÓ,RIOSUCIO,30_10_2_21,27615,64.14510636554999,44001.0,1076.884,13.03766194820404
46103,GUAVIARE,SAN JOSÉ DEL GUAVIARE,97_43_3_14,95001,0.9,0.0,7492.03,0.7433999872207642
85547,VALLE DEL CAUCA,JAMUNDÍ,78_77_4_16,76364,0.99199601,60497.0,0.0,2.2610327517986297
47007,GUAVIARE,SAN JOSÉ DEL GUAVIARE,97_57_1_24,95001,14.34865051,4300600.0,58753.963,17.002023401260377
75444,PUTUMAYO,PUERTO ASÍS,120_90_2_10,86568,3.897027410604,6129864.0,13610.990000000002,6.5350248861312865
54987,META,PUERTO RICO,96_37_2_25,50590,17.04454705188,3909399.0,12379.376,20.463758964538574
36600,CÓRDOBA,SAN JOSÉ DE URÉ,25_90_3_18,23682,7.8125723889700005,459389.0,0.0,12.376377792358399
44097,GUAVIARE,MIRAFLORES,125_10_3_12,95200,3.21418374439,3412644.0,14225.053,12.922429866790772
32948,CHOCÓ,EL LITORAL DEL SAN JUAN,66_56_1_15,27250,0.0317,0.0,973.2,0.08527000032365323
21257,CAQUETÁ,MILÁN,122_12_3_12,18460,2.79,0.0,122.67,2.133093650219962
89220,VICHADA,CUMARIBO,75_3_2_15,99773,2.07,0.0,0.0,0.8397000014781952
81975,PUTUMAYO,VALLE DEL GUAMUEZ,120_84_4_24,86865,83.02379022398,4068614.0,51551.01,74.03638844490051
81421,PUTUMAYO,PUERTO LEGUÍZAMO,134_83_4_18,86573,11.52,0.0,1182.8,8.367100295126438
64818,NARIÑO,SAN ANDRÉS DE TUMACO,104_46_2_1,52835,1.08,3545606.0,37688.19,1.3682042384147644
62678,NARIÑO,OLAYA HERRERA,90_89_3_15,52490,4.736225841955,1746690.0,12585.78,7.2955537760257725
49786,META,LA MACARENA,95_53_3_12,50350,0.8,0.0,0.0,3.2800999987125397
48612,MAGDALENA,SANTA MARTA,3_100_4_19,47001,3.06,0.0,0.0,2.237800050377846
12178,BOLÍVAR,RÍO VIEJO,20_76_3_15,13600,0.36,0.0,402.43,1.2352000212669372
79834,PUTUMAYO,PUERTO LEGUÍZAMO,122_63_2_16,86573,3.31,0.0,2723.0200000000004,7.906076412200928
42372,GUAVIARE,EL RETORNO,98_86_3_14,95025,92.29538884356,5843149.0,37828.502,87.547952709198
15021,BOLÍVAR,TIQUISIO,27_3_4_11,13810,8.688204321696,851.0,633.08,7.773908114433288
85550,VALLE DEL CAUCA,JAMUNDÍ,78_77_4_21,76364,5.90776056,60497.0,0.0,3.6439385467767718
61508,NARIÑO,MAGÜÍ,104_30_2_21,52427,0.476285969529,0.0,0.0,0.8332574167847633
6396,ANTIOQUIA,TARAZÁ,33_1_1_23,5790,3.6,13949.0,34058.63,8.547944539785385
29094,CAUCA,LÓPEZ DE MICAY,91_10_4_3,19418,3.4871475100000002,0.0,2310.9700000000003,5.127429051995278
48621,MAGDALENA,SANTA MARTA,3_100_4_7,47001,1.2,0.0,1763.7800000000002,2.695799981355667
78254,PUTUMAYO,PUERTO GUZMÁN,121_36_4_20,86571,3.38,34396.0,8126.889999999999,2.0177398353815077
13469,BOLÍVAR,SANTA ROSA DEL SUR,27_46_4_5,13688,21.26032234974,498099.0,7343.88,20.745467824935915
27710,CAUCA,EL TAMBO,92_62_1_14,19256,28.64238674905,1573270.0,2306.8289999999997,98.62554103851318
25908,CAQUETÁ,VALPARAÍSO,121_28_2_7,18860,6.8500000000000005,800.0,1731.72,6.398052023947239
85689,VAUPÉS,CARURÚ,112_96_3_16,97161,0.41000000000000003,0.0,0.0,7.976443985700607
64939,NARIÑO,SAN ANDRÉS DE TUMACO,104_47_3_1,52835,7.053572864115,9637108.0,88984.6,10.870405039787293
39059,GUAVIARE,CALAMAR,111_11_4_25,95015,1.53,0.0,3240.8900000000003,1.7006999790668487
791,ANTIOQUIA,AMALFI,33_67_1_5,5031,5.74,0.0,998.6800000000001,5.29295264929533
36579,CÓRDOBA,SAN JOSÉ DE URÉ,25_90_2_12,23682,9.109307276660001,156948.0,0.0,4.047416953146458
55241,META,PUERTO RICO,96_48_4_12,50590,35.77709937802,4482997.0,29391.526,41.72956111907959
27974,CAUCA,EL TAMBO,92_74_1_4,19256,9.766829207704,918946.0,183.579,14.429332466125489
86232,VICHADA,CUMARIBO,62_96_4_6,99773,0.36,0.0,7582.68,1.222199974656105
68567,NORTE DE SANTANDER,EL TARRA,21_68_2_24,54250,107.04940126203,2530862.0,2560.07,89.93673754692078
76044,PUTUMAYO,PUERTO ASÍS,121_72_3_11,86568,62.775755388374,10313367.0,63727.8938,89.88035068511962
86944,VICHADA,CUMARIBO,73_38_3_15,99773,1.44,0.0,12868.61,1.853600058555603
40307,GUAVIARE,EL RETORNO,111_25_2_25,95025,9.33,2277034.0,16931.673,11.861171090602875
31351,CAUCA,TIMBIQUÍ,91_39_1_25,19809,7.0881,3650.0,12027.960000000001,5.980660910606384
36745,CÓRDOBA,TIERRALTA,25_37_3_11,23807,1.17,0.0,0.0,0.8802000188827515
8226,ANTIOQUIA,ZARAGOZA,33_9_4_23,5895,7.9799999999999995,0.0,5937.08,13.204930686950684
36883,CÓRDOBA,TIERRALTA,25_43_3_8,23807,2.94309863177,200601.0,0.0,1.927046106159687
69140,NORTE DE SANTANDER,HACARÍ,28_17_2_8,54344,1.69558594,1034.0,0.0,1.6513268484175205
73361,PUTUMAYO,MOCOA,120_8_1_8,86001,1.08,0.0,164.66,1.272600028514862
22005,CAQUETÁ,PUERTO RICO,108_46_4_20,18592,0.45,2775.0,1501.9199999999998,1.4368999660015107
26841,CAUCA,BUENOS AIRES,78_87_3_16,19110,12.38964388383,5020.0,0.0,2.9419781160354614
43183,GUAVIARE,MIRAFLORES,111_80_2_23,95200,19.0636,1916136.0,12957.603,7.630921832323074
40255,GUAVIARE,EL RETORNO,111_18_2_19,95025,0.7171875,95552.0,602.07,2.065037751980126
8737,ARAUCA,ARAUQUITA,37_85_2_23,81065,7.82,0.0,4650.5199999999995,6.914700126647949
15872,CAQUETÁ,ALBANIA,107_96_2_9,18029,1.71,0.0,358.43,1.2925298368930818
39377,GUAVIARE,CALAMAR,111_21_2_4,95015,6.4399999999999995,0.0,7351.700000000001,2.854844976067543
90000,VICHADA,CUMARIBO,85_37_2_15,99773,80.93971263643999,4578015.0,40577.372,71.31930624008179
85948,VAUPÉS,MITÚ,127_56_4_18,97001,0.45,19160.0,0.0,0.6947999942302704
58210,NARIÑO,BARBACOAS,104_90_2_4,52079,60.93050072077,1648807.0,23114.931,56.18833461761474
30650,CAUCA,SANTA ROSA,106_89_3_25,19701,1.71,0.0,0.0,1.7875415340065957
84532,SANTANDER,SUCRE,44_77_1_1,68773,1.08,0.0,1197.42,4.036312950849533
51791,META,MAPIRIPÁN,84_85_4_23,50325,2.173,263075.0,373.262,2.0512263971567153
76709,PUTUMAYO,PUERTO CAICEDO,120_50_3_8,86569,39.83154264146,7293235.0,17074.7032,34.557301139831544
79859,PUTUMAYO,PUERTO LEGUÍZAMO,122_63_4_1,86573,7.87,0.0,1227.97,5.551475101709366
44990,GUAVIARE,SAN JOSÉ DEL GUAVIARE,96_78_1_6,95001,9.174628480939,6305843.0,9230.012999999999,9.43751914024353
52296,META,MAPIRIPÁN,98_3_2_6,50325,0.09,0.0,5155.6900000000005,0.5263999882340431
70175,NORTE DE SANTANDER,SARDINATA,28_9_2_17,54720,23.23593635985,3632893.0,832.8,34.54850435256958
